,Clones
1,KIROBA
2,MFARANSA
3,KBH2014.428
4,KBH2014.385
5,KBH2014.730
6,KBH2014.005
7,KBH2014.798
8,KBH2014.527
9,KBH2014.371
10,KBH2014.422
11,KBH2014.553
12,KBH2014.1036
13,KBH2014.031
14,KBH2014.043
15,KBH2014.491
16,KBH2014.181
17,KBH2014.462
18,KBH2014.244
19,KBH2014.011
20,KBH2014.362
21,KBH2014.029
22,KBH2014.440
23,KBH2014.1004
24,KBH2014.054
25,KBH2014.088
26,KBH2014.1266
27,KBH2014.1137
28,KBH2014.180
29,KBH2014.085
30,KBH2014.342
31,KBH2014.196
32,KBH2014.072
33,KBH2014.143
34,KBH2014.415
35,KBH2014.1218
36,KBH2014.942
37,KBH2014.950
38,KBH2014.259
39,KBH2014.756
40,KBH2014.067
41,KBH2014.644
42,KBH2014.220
43,KBH2014.237
44,KBH2014.317
45,KBH2014.392
46,KBH2014.250
47,KBH2014.324
48,KBH2014.504
49,KBH2014.981
50,KBH2014.379
51,KBH2014.849
52,KBH2014.547
53,KBH2014.1014
54,KBH2014.537
55,KBH2014.251
56,KBH2014.1073
57,KBH2014.345
58,KBH2014.288
59,KBH2014.215
60,KBH2014.762
61,KBH2014.095
62,KBH2014.197
63,KBH2014.513
64,KBH2014.669
65,KBH2014.192
66,KBH2014.484
67,KBH2014.686
68,KBH2014.022
69,KBH2014.102
70,KBH2014.063
71,KBH2014.023
72,KBH2014.173
73,KBH2014.701
74,KBH2014.558
75,KBH2014.480
76,KBH2014.113
77,KBH2014.076
78,KBH2014.190
79,KBH2014.792
80,KBH2014.838
81,KBH2014.140
82,KBH2014.298
83,KBH2014.053
84,KBH2014.387
85,KBH2014.974
86,KBH2014.446
87,KBH2014.087
88,KBH2014.096
89,KBH2014.958
90,KBH2014.040
91,KBH2014.341
92,KBH2014.349
93,KBH2014.033
94,KBH2014.086
95,KBH2014.213
96,KBH2014.732
97,KBH2014.712
98,KBH2014.862
99,KBH2014.857
100,KBH2014.347
101,KBH2014.1015
102,KBH2014.017
103,KBH2014.320
104,KBH2014.274
105,KBH2014/.982
106,KBH2014.1029
107,KBH2014.079
108,KBH2014.021
109,KBH2014.815
110,KBH2014.348
111,KBH2014.925
112,KBH2014.126
113,KBH2014.020
114,KBH2014.721
115,KBH2014.477
116,KBH2014.202
117,KBH2014.920
118,KBH 2014/526
119,KBH2014.542
120,KBH2014.176
121,KBH2014.522
122,KBH2014.493
123,KBH2014.1094
124,KBH2014.519
125,KBH2014.073
126,KBH2014.411
127,KBH2014.207
128,KBH2014.992
129,KBH2014.866
130,KBH2014.351
131,KBH2014.696
132,KBH2014.275
133,KBH2014.793
134,KBH2014.955
135,KBH2014.059
136,KBH2014.694
137,KBH2014.147
138,KBH2014.174
139,KBH2014.833
140,KBH2014.570
141,KBH2014.526
142,KBH2014.982
143,KBH2014.218
144,KBH2014.719
145,KBH2014.123
146,KBH.2014.079
147,KBH 2014.958
148,KBH2014.075
149,KBH2014.1002
150,KBH2014.1090
151,KBH2014.155
152,KBH2014.1230
153,KBH2014.1102
154,KBH2014.1232
155,KBH2014.478
156,KBH2014.227
157,KBH2014.124
158,KBH2014.071
159,KBH2014.353
160,KBH2014.339
161,KBH 2014/025
162,KBH2014.161
163,KBH2014.130
164,KBH2014.1273
165,KBH2014.425
166,KBH2014.019
167,KBH2014.065
168,KBH201.1152
169,KBH2014.449
170,KBH2014.1022
171,KBH2014.1155
172,KBH2014.282
173,KBH2014.1098
174,KBH2014.1278
175,KBH2014.1052
176,KBH2014.1173
177,KBH2014.1174
178,KBH2014.463
179,KBH2014.108
180,KBH2014.1084
181,KBH2014.106
182,KBH2014.1283
183,KBH2014.1030
184,KBH2014.1044
185,KBH2014.1248
186,KBH2014.1236
187,KBH2014.346
188,KBH2014.1104
189,KBH2014.1007
190,KBH2014.490
191,KBH2014.757
192,KBH2014.1152
193,KBH2014.1059
194,KBH2014.1077
195,KBH2014.858
196,KBH2014.968
197,KBH2014.1108
198,KBH2014.1129
199,KBH2014.897
200,KBH2014.736
201,KBH2014.286
202,KBH2014.486
203,KBH2014.396
204,KBH2014.990
205,KBH2014.1114
206,KBH2014.1241
207,KBH2014.1176
208,KBH2014.1256
209,KBH2014.1209
210,KBH2014.916
211,KBH2014.1263
212,KBH2014.236
213,KBH2014.374
214,KBH2014.1268
215,KBH2014.1013
216,KBH2014.1056
217,KBH2014.1269
218,MKURANGA 1
219,KBH2014.1213
220,KBH2014.1207
221,KBH2014.032
222,KB 2014.1207
223,KBH2014.1121
224,KBH2014.1443
225,KBH2014.1463
226,KBH2014.1299
227,KBH2014.1247
228,KBH2014.1297
229,KBH2014.1387
230,KBH2014.1465
231,KBH2014.1312
232,KBH2014.1392
233,KBH2014.1398
234,KBH2014.1326
235,KBH2014.1306
236,KBH2014.1431
237,KBH2014.809
238,KBH 2014.1396
239,KBH2014.1440
240,KBH2014.1383
241,KBH2014.1468
242,KBH2014.1435
243,KBH2014.1352
244,"KBH2014,1463"
245,KBH2014.1396
246,5.157
247,7.0048
248,5.0048
249,7.1295
250,MM06.0045
251,PER390
252,MM06.0139
253,5.1654
254,1295
255,1.1371
256,TME419
257,1.1331
258,MM06.10706
259,MM6.0045
260,KBH2014.510
261,KBH2014.535
262,KBH2014.567
263,KBH2014.585
264,KBH2014.617
265,KBH2014.620
266,KBH2014.627
267,KBH2014.634
268,KBH2014.636
269,KBH2014.639
270,KBH2014.645
271,KBH2014.692
272,KBH2014.693
273,KBH2014.699
274,KBH2014.700
275,KBH2014.702
276,KBH2014.708
277,KBH2014.727
278,KBH 2014.692
279,KBH 2014/727
280,KBH2014.754
281,KBH2014.808
282,KBH2014.970
283,KBH2014.952
284,KBH2014.949
285,KBH2014.987
286,KBH2014.932
287,KBH2014.854
288,KBH 2014.956
289,KBH2014.740
290,KBH2014.864
291,KBH2014.935
292,KBH2014.723
293,KBH2014.842
294,KBH2014.832
295,KBH2014.852
296,KBH2014.506
297,KBH2014.760
298,KBH2014.978
299,KBH2014.816
300,KBH2014.829
301,KBH2014.923
302,KBH2014.895
303,KBH2014.825
304,KBH2014.836
305,KBH2014.733
306,KBH2014.745
307,KBH2014.996
308,KBH2014.813
309,KBH2014.907
310,KBH2014.742
311,KBH2014.934
312,KBH2014.899
313,KBH2014.893
314,KBH2014.954
315,KBH2014.735
316,KBH2014.813B
317,KBH2014.979
318,KBH2014.703
319,KBH2014.921
320,KBH2014.956
321,KBH 2014/627
322,KBH2014.880
323,KBH2014.813A
324,KBH2014996
325,KBH2015.002
326,KBH2015.066
327,KBH2015.140
328,KBH2015.168
329,KBH2015.177
330,KBH2015.408
331,KBH2015.120
332,KBH2015.452
333,KBH2015.391
334,KBH2015.131
335,KBH2015.136
336,KBH2015.394
337,KBH2015.044
338,KBH2015.165
339,KBH2015.352
340,KBH2015.411
341,KBH2015.043
342,KBH2015.328
343,KBH2015.413
344,KBH2015.333
345,KBH2015.281
346,KBH2015.190
347,KBH2015.331
348,KBH2015.134
349,KBH2015.279
350,KBH2015.320
351,KBH2015.395
352,KBH2015.310
353,KBH2015.153
354,KBH2015.404
355,KBH2015.147
356,KBH2015.061
357,KBH2015.377
358,KBH2015.BULK
359,KBH2015.297
360,KBH2015.423
361,KBH2015.382
362,KBH2015.058
363,KBH2015.319
364,KBH2015.010
365,KBH2015.026
366,KBH2015.080
367,KBH2015.194
368,KBH2015.127
369,KBH2015.146
370,KBH2015.152
371,KBH2015.072
372,KBH2015.201
373,KBH2015.418
374,KBH2015.052
375,KBH2015.005
376,KBH2015.018
377,KBH2015.383
378,KBH2015.008
379,KBH2015.042
380,KBH2015.035
381,KBH2015.207
382,KBH 2015/297
383,KBH2015.020
384,KBH2015.015
385,KBH2015.032
386,KBH2015.051
387,KBH2015.161
388,KBH2012.413
389,KBH2012.145
390,KBH2012.070
391,KBH2012.063
392,KBH2012.744
393,KBH2012.048
394,KBH2012.121
395,KBH2012.373
396,KBH2012.409
397,KBH2012.173
