"germplasmName","FullSampleName"
"58308","I58308:250304631"
"ALBERT","ALBERT:CA8RLANXX:7:526312"
"CH05_203","CH05_203:250442976"
"COLICANANA","COLICANANA:250442941"
"EYOPE","EYOPE:250442952"
"F10_30_R2","F10_30_R2:250442916"
"F19-NL","F19_NL:CA8RLANXX:7:526313"
"IITA-TMS-IBA000388","I000388:250300404"
"IITA-TMS-IBA010040","I010040:250300336"
"IITA-TMS-IBA010045","I010045:250300341"
"IITA-TMS-IBA050311","I050311:250300193"
"IITA-TMS-IBA070045","I070045:250300153"
"IITA-TMS-IBA070520","I070520:250300165"
"IITA-TMS-IBA30572","I30572:250253643"
"IITA-TMS-IBA9101730","I9101730:250304520"
"IITA-TMS-IBA961089A","I961089A:250300537"
"KALAWE","KALAWE:250442951"
"Kibandameno","KIBANDAMENO:250254266"
"kiroba","KIROBA:250253728"
"KIZIMBANI","KIZIMBANI:250304603"
"LIONGOKWIMBA","Liongokwimba:CAAC5ANXX:4:526453"
"LWAKITANGAZA","Lwakitangaza:CA8RLANXX:8:526436"
"MFARANSA","MFARANSA:CA8RLANXX:2:525815"
"MKOMBOZI","MKOMBOZI:CA8RLANXX:7:526255"
"Mkumba","MKUMBA:250442905"
"MKURANGA1","MKURANGA1:CA8RLANXX:2:525804"
"Namikonga","Namikonga:250329682"
"NASE14","NASE14:250329604"
"NASE18","NASE18:CA8RLANXX:7:526303"
"NZIVA","NZIVA:250442917"
"ORELA","ORELA:CA8RLANXX:8:526378"
"PER368","PER368:250327700"
"PER415","PER415:250327705"
"PER556","PER556:250327712"
"PWANI","PWANI:CA8RLANXX:8:526402"
"SAGONJA","SAGONJA:250442928"
"SAUTI","SAUTI:250442940"
"SHIBE","SHIBE:250442903"
"TAJIRIKA","TAJIRIKA:250442929"
"TMEB1310","TMEB1310:250254238"
"TMEB1786","KIBANDAMENO:250254266"
"TZ-130","TZ_130:250442927"
"TZKBH12_075","KBH2012_075:CA8RLANXX:2:525774"
"TZKBH12_156","KBH2012_156:CA8RLANXX:2:525771"
"TZKBH12_311","KBH2012_311:CA8RLANXX:2:525775"
"TZKBH12_413","KBH2012_413:CA8RLANXX:2:525777"
"TZKBH12_666","KBH2012_666:CA8RLANXX:2:525782"
"TZKBH12_807","KBH2012_807:CA8RLANXX:2:525823"
"TZKBH12_898","KBH2012_898:CA8RLANXX:2:525847"
"TZKBH12FS1000","KBH2012_1000:CA8RLANXX:2:525809"
"TZKBH12FS1016","KBH2012_1016:CA8RLANXX:2:525812"
"TZKBH12FS1032","KBH2012_1032:CA8RLANXX:2:525787"
"TZKBH12FS115","KBH2012_115:CA8RLANXX:2:525859"
"TZKBH12FS116","KBH2012_116:CA8RLANXX:3:525862"
"TZKBH12FS118","KBH2012_118:CA8RLANXX:2:525786"
"TZKBH12FS807","KBH2012_807:CA8RLANXX:2:525823"
"TZKBH12FS833","KBH2012_833:CA8RLANXX:2:525835"
"TZKBH12FS898","KBH2012_898:CA8RLANXX:2:525847"
"TZKBH12FS923","KBH2012_923:CA8RLANXX:2:525822"
"TZKBH12HS007","KBH2012_007:CA8RLANXX:2:525850"
"TZKBH12HS017","KBH2012_017:CA8RLANXX:2:525857"
"TZKBH12HS041","KBH2012_041:CA8RLANXX:2:525843"
"TZKBH12HS044","KBH2012_044:CA8RLANXX:2:525783"
"TZKBH12HS048","KBH2012_048:CA8RLANXX:2:525837"
"TZKBH12HS062","KBH2012_062:CA8RLANXX:2:525780"
"TZKBH12HS063","KBH2012_063:CA8RLANXX:2:525813"
"TZKBH12HS066","KBH2012_066:CA8RLANXX:2:525808"
"TZKBH12HS067","KBH2012_067:CA8RLANXX:2:525785"
"TZKBH12HS070","KBH2012_070:CA8RLANXX:2:525801"
"TZKBH12HS072","KBH2012_072:CA8RLANXX:2:525807"
"TZKBH12HS075","KBH2012_075:CA8RLANXX:2:525774"
"TZKBH12HS087","KBH2012_087:CA8RLANXX:2:525770"
"TZKBH12HS1036","KBH2012_1036:CA8RLANXX:2:525776"
"TZKBH12HS106","KBH2012_106:CA8RLANXX:2:525814"
"TZKBH12HS110","KBH2012_110:CA8RLANXX:2:525779"
"TZKBH12HS121","KBH2012_121:CA8RLANXX:2:525849"
"TZKBH12HS129","KBH2012_129:CA8RLANXX:2:525827"
"TZKBH12HS130","KBH2012_130:CA8RLANXX:2:525767"
"TZKBH12HS131","KBH2012_131:CA8RLANXX:2:525830"
"TZKBH12HS145","KBH2012_145:CA8RLANXX:2:525789"
"TZKBH12HS151","KBH2012_151:CA8RLANXX:2:525834"
"TZKBH12HS156","KBH2012_156:CA8RLANXX:2:525771"
"TZKBH12HS160","KBH2012_160:CA8RLANXX:2:525819"
"TZKBH12HS167","KBH2012_167:CA8RLANXX:2:525792"
"TZKBH12HS173","KBH2012_173:CA8RLANXX:2:525790"
"TZKBH12HS201","KBH2012_201:CA8RLANXX:2:525854"
"TZKBH12HS215","KBH2012_215:CA8RLANXX:2:525795"
"TZKBH12HS225","KBH2012_225:CA8RLANXX:2:525824"
"TZKBH12HS241","KBH2012_241:CA8RLANXX:2:525852"
"TZKBH12HS260","KBH2012_260:CA8RLANXX:2:525841"
"TZKBH12HS266","KBH2012_266:CA8RLANXX:2:525768"
"TZKBH12HS267","KBH2012_267:CA8RLANXX:2:525831"
"TZKBH12HS269","KBH2012_269:CA8RLANXX:2:525799"
"TZKBH12HS272","KBH2012_272:CA8RLANXX:2:525848"
"TZKBH12HS276","KBH2012_276:CA8RLANXX:2:525772"
"TZKBH12HS284","KBH2012_284:CA8RLANXX:2:525856"
"TZKBH12HS311","KBH2012_311:CA8RLANXX:2:525775"
"TZKBH12HS328","KBH2012_328:CA8RLANXX:3:525885"
"TZKBH12HS332","KBH2012_332:CA8RLANXX:2:525798"
"TZKBH12HS337","KBH2012_337:CA8RLANXX:2:525800"
"TZKBH12HS344","KBH2012_344:CA8RLANXX:2:525818"
"TZKBH12HS347","KBH2012_347:CA8RLANXX:2:525832"
"TZKBH12HS373","KBH2012_373:CA8RLANXX:2:525766"
"TZKBH12HS397","KBH2012_397:CA8RLANXX:2:525816"
"TZKBH12HS409","KBH2012_409:CA8RLANXX:2:525778"
"TZKBH12HS413","KBH2012_413:CA8RLANXX:2:525777"
"TZKBH12HS414","KBH2012_414:CA8RLANXX:2:525784"
"TZKBH12HS416","KBH2012_416:CA8RLANXX:2:525806"
"TZKBH12HS425","KBH2012_425:CA8RLANXX:2:525817"
"TZKBH12HS443","KBH2012_443:CA8RLANXX:2:525797"
"TZKBH12HS444","KBH2012_444:CA8RLANXX:2:525826"
"TZKBH12HS460","KBH2012_460:CA8RLANXX:2:525820"
