"germplasmName","FullSampleName"
"ALBERT","ALBERT:CA8RLANXX:7:526312"
"CH05_203","CH05_203:250442976"
"EYOPE","EYOPE:250442952"
"F10_30_R2","F10_30_R2:250442916"
"KALAWE","KALAWE:250442951"
"TMEB1786","KIBANDAMENO:250254266"
"KIPUSA",NA
"kiroba",NA
"KIZIMBANI","KIZIMBANI:250304603"
"LML_2008_363",NA
"MKOMBOZI","MKOMBOZI:CA8RLANXX:7:526255"
"Mkumba",NA
"MKURANGA1","MKURANGA1:CA8RLANXX:2:525804"
"NASE14","NASE14:250329604"
"NASE18","NASE18:CA8RLANXX:7:526303"
"IITA-TMS-IBA30572","I30572:250253643"
"NZIVA","NZIVA:250442917"
"ORELA","ORELA:CA8RLANXX:8:526378"
"PWANI","PWANI:CA8RLANXX:8:526402"
"SAGONJA","SAGONJA:250442928"
"SAUTI","SAUTI:250442940"
"SHIBE","SHIBE:250442903"
"TAJIRIKA","TAJIRIKA:250442929"
"TZ-130",NA
"YIZASO","YIZASO:CA8RLANXX:7:526278"
"LIONGOKWIMBA",NA
"LWAKITANGAZA",NA
"TZUKG1207_001","UKG1207_001:CAAC5ANXX:4:526442"
"TZUKG12OP01_002","UKG12OP01_002:CA8RLANXX:8:526421"
"TZUKG12OP01_003","UKG12OP01_003:CAAC5ANXX:4:526512"
"TZUKG12OP01_004","UKG12OP01_004:CAAC5ANXX:4:526499"
"TZUKG12OP01_005","UKG12OP01_005:CA8RLANXX:8:526374"
"TZUKG12OP01_008","UKG12OP01_008:CAAC5ANXX:4:526462"
"TZUKG12OP01_009","UKG12OP01_009:CAAC5ANXX:4:526501"
"TZUKG12OP01_010","UKG12OP01_010:CA8RLANXX:8:526371"
"TZUKG12OP01_013","UKG12OP01_013:CA8RLANXX:8:526435"
"TZUKG12OP01_018","UKG12OP01_018:CAAC5ANXX:4:526486"
"TZUKG12OP01_019","UKG12OP01_019:CA8RLANXX:8:526346"
"TZUKG12OP01_020","UKG12OP01_020:CA8RLANXX:8:526423"
"TZUKG12OP01_021","UKG12OP01_021:CA8RLANXX:8:526397"
"TZUKG12OP01_022","UKG12OP01_022:CAAC5ANXX:4:526465"
"TZUKG12OP01_023","UKG12OP01_023:CAAC5ANXX:4:526523"
"TZUKG12OP02_002",NA
"TZUKG12OP02_004","UKG12OP02_004:CA8RLANXX:8:526413"
"TZUKG12OP02_005","UKG12OP02_005:CAAC5ANXX:4:526485"
"TZUKG12OP02_006","UKG12OP02_006:CA8RLANXX:8:526348"
"TZUKG12OP03_001","UKG12OP03_001:CA8RLANXX:8:526407"
"TZUKG12OP03_002","UKG12OP03_002:CAAC5ANXX:4:526440"
"TZUKG12OP03_003","UKG12OP03_003:CA8RLANXX:8:526358"
"TZUKG12OP03_004","UKG12OP03_004:CA8RLANXX:8:526381"
"TZUKG12OP03_006","UKG12OP03_006:CA8RLANXX:8:526416"
"TZUKG12OP03_007","UKG12OP03_007:CA8RLANXX:8:526373"
"TZUKG12OP03_008","UKG12OP03_008:CA8RLANXX:8:526395"
"TZUKG12OP03_011","UKG12OP03_011:CA8RLANXX:8:526432"
"TZUKG12OP03_012","UKG12OP03_012:CAAC5ANXX:4:526525"
"TZUKG12OP03_014","UKG12OP03_014:CAAC5ANXX:4:526438"
"TZUKG12OP03_015",NA
"TZUKG12OP03_018","UKG12OP03_018:CAAC5ANXX:4:526513"
"TZUKG12OP03_019","UKG12OP03_019:CAAC5ANXX:4:526521"
"TZUKG12OP05_001","UKG12OP05_001:CAAC5ANXX:4:526510"
"TZUKG12OP05_003","UKG12OP05_003:CA8RLANXX:8:526351"
"TZUKG12OP05_004","UKG12OP05_004:CA8RLANXX:8:526410"
"TZUKG12OP05_005","UKG12OP05_005:CA8RLANXX:8:526398"
"TZUKG12OP05_006","UKG12OP05_006:CAAC5ANXX:4:526489"
"TZUKG12OP05_007","UKG12OP05_007:CA8RLANXX:8:526382"
"TZUKG12OP05_010","UKG12OP05_010:CA8RLANXX:8:526359"
"TZUKG12OP05_012","UKG12OP05_012:CA8RLANXX:8:526347"
"TZUKG12OP05_013","UKG12OP05_013:CA8RLANXX:8:526406"
"TZUKG12OP05_014","UKG12OP05_014:CA8RLANXX:8:526418"
"TZUKG12OP05_015","UKG12OP05_015:CA8RLANXX:8:526372"
"TZUKG12OP05_016","UKG12OP05_016:CA8RLANXX:8:526392"
"TZUKG12OP05_017","UKG12OP05_017:CA8RLANXX:8:526345"
"TZUKG12OP05_019","UKG12OP05_019:CA8RLANXX:8:526404"
"TZUKG12OP11_002","UKG12OP11_002:CAAC5ANXX:4:526464"
